"InfluencerStandardized","standardizedCount","influencerList","platform"
"gametheory",9,"game theory, Game Theory, Game theory., GameTheory, Gametheory.","youtube_account"
"pewdiepie",9,"pewdiepie, PewDiePie, PEWDIEPIE, pewdiepei, pewdipi","youtube_account"
"prive",9,"prive","youtube_account"
"smiiy",9,"smii7y, smii7Y, Smii7y, smi77y, Smi77y, Smiity., Smiizy","youtube_account"
"twisty",9,"twisty, Twisty, Twisty., twist","youtube_account"
"voetbal",9,"voetbal, footbal","youtube_account"
"markrober",8," mark rober, @Mark Rober, mark rober, Mark rober, Mark Rober, markrobert","youtube_account"
"chainsfr",8,"chainsfr, Chainsfr, ChainsFR, chains","youtube_account"
"ferless",8,"fe4rless, Fe4rless, Fe4rLess, Fearless","youtube_account"
"frankvd",8,"frank V D, Frank vd, frankvd, Frankvd","youtube_account"
"grian",8,"grian, Grian","youtube_account"
"idk",8,"idk, ik, Ik, Mick, mick 2, Mick., dirk, pink","youtube_account"
"mystoryanimated",8,"my story animated, My story animated, MY STORY ANIMATED, mystoryanimated","youtube_account"
"ronald",8,"ronald, Ronald, ronaldo","youtube_account"
"supergaande",8,"supergaande, Supergaande, suppergande","youtube_account"
"walnut",8,"walnut, Walnut, WALNUT","youtube_account"
"ziggo",8,"ziggo, Ziggo, Ziggo., Fiago","youtube_account"
"bender",7,"@BENDER, bender, Bender, Berner415","youtube_account"
"brugklas",7,"brugklas, Brugklas TV","youtube_account"
"dailydoseofinternet",7,"daily dose of internet, Daily dose of internet, Daily Dose of Internet","youtube_account"
"dantdm",7,"Dan tdm, dantdm, Dantdm, DanTDM, dangdo","youtube_account"
"dutchtuber",7,"DUTCH TUBER, dutchtuber, Dutchtuber, Dutchtuber., dutchuber, Dutchuber","youtube_account"
"ninja",7,"ninja, Ninja","youtube_account"
"altijdmelvin",6,"altijdmelvin, Altijdmelvin","youtube_account"
"awfireworks",6,"aw fireworks, Aw fireworks, Aw Fireworks, AW fireworks","youtube_account"
"cemi",6,"cemi, Cemi, rema, Rema","youtube_account"
"danielweyers",6,"daniel weyers, Daniel Weyers., danielweyers, daniel wyers","youtube_account"
"dannyaarons",6,"Danny aarons, Danny Aarons, Danny Aarons., dannyaarons","youtube_account"
"dudeperfect",6,"dude perfect, dude-perfect, dudeperfect","youtube_account"
"dylanhaegens",6,"dylan haegens, Dylan Haegens, dylanhaegens, Dylanhaegens, DylanHaegens, dylan heagens, dylan hagens","youtube_account"
"fazerug",6,"faze rug, Faze Rug, FaZe Rug, FazeRug","youtube_account"
"fortnite",6,"fortnite, Fortnite","youtube_account"
"jacksepticeye",6,"jacksepticeye, Jacksepticeye, jackseptieye","youtube_account"
"jordanmatter",6,"jordan matter, Jordan Matter, Jordan Matter., jordanmatter","youtube_account"
"kallmekris",6,"kall me kris, kallmekris, Kallmekris, Call me Kris.","youtube_account"
"lazarbeam",6,"lazarbeam, Lazarbeam, LazarBeam, lazerbeam","youtube_account"
"makkers",6,"makkers, Makkers, de makkers, demakkers","youtube_account"
"marijnkuipers",6,"marijn kuipers, Marijn kuipers, Marijn Kuipers, martijn kuipers","youtube_account"
"nicolelaeno",6,"nicole laeno, Nicole laeno, Nicole Laeno, nicolelaeno","youtube_account"
"samsulek",6,"sam sulek, Sam Sulek, Samsaiek","youtube_account"
"svenenkoen",6,"sven en koen, Sven en koen","youtube_account"
"taylorswift",6,"Taylor swift, Taylor Swift, taylorswift, Taylorswift","youtube_account"
"auziomf",5,"Auzio MF, auziomf, Auziomf, Auzio","youtube_account"
"clix",5,"clix, Clix, ali a, ali b","youtube_account"
"clonnygames",5,"clonny games, Clonny games, clonnygames","youtube_account"
"dafuqboom",5,"Dafuq Boom, DaFuq!?Boom!, DaFuq?!Boom, DaFuq?!Boom!, dafuqboom","youtube_account"
"furtjuh",5,"furtjuh, Furtjuh","youtube_account"
"jelly",5,"jelly, Jelly, Jelly., Jell, Jolly","youtube_account"
"jidion",5,"jidion, Jidion, JiDion, Jidion.","youtube_account"
"koenweijland",5,"koen weijland, Koen Weijland, Koen weiland, Koen Weiland, koenwijland","youtube_account"
"kristysnepvangers",5,"kristy snepvangers, Kristy snepvangers, kristysnepvangers","youtube_account"
"kubzscouts",5,"kubz scouts, Kubz scouts., Kubzscouts, kubz scout, Kubzscout, Kubscoutz","youtube_account"
"mezelf",5,"mezelf, Mezelf, ikzelf","youtube_account"
"milanknol",5,"milan knol, Milan knol, milanknol, Milanknol","youtube_account"
"misterbeast",5,"mister beast, misterbeast, Misterbeast, MsterBeast","youtube_account"
"mongraal",5,"mongraal, Mongraal, Mingraal","youtube_account"
"mrsavage",5,"Mr Savage, mrsavage, Mrsavage, MRsavage","youtube_account"
"onnedi",5,"onnedi, onneDi, Onnedi, onedi, Onnedie","youtube_account"
"theboys",5,"the boys, The boys, The Boys, The boys., Theboys","youtube_account"
"whopcap",5,"whopcap, Whopcap","youtube_account"
"ranboo",4,"@Ranboo, ranboo, Ranboo.","youtube_account"
"acookiegod",4,"acookiegod, cookie god, cookiegod, Cookiegod., acoockiegod","youtube_account"
"afcajax",4,"afc ajax, Afc ajax, Afc Ajax, AFC Ajax","youtube_account"
"bellingas",4,"Bellinga's, Bellinga´s, bellingas, bellinga","youtube_account"
"benoftheweek",4,"Benoftheweek, Benoftheweek.","youtube_account"
"boos",4,"boos, Boos, BOOS, boef, Boef, boom","youtube_account"
"bts",4,"bts, BTS, bt1, Bt1, beta","youtube_account"
"celinaspookyboo",4,"celinaspookyboo, Celinaspookyboo, CelinaSpookyboo","youtube_account"
"courtreezy",4,"courtreezy, Courtreezy, Courtreezy.","youtube_account"
"dancemoms",4,"dance moms, Dance moms, dancemoms","youtube_account"
"dashiegames",4,"dashiegames, DashieGames","youtube_account"
"dazgames",4,"daz games, Daz games, Daz-Games, dazz games","youtube_account"
"divaio",4,"divaio, Divaio, divajo, Divao","youtube_account"
"dream",4,"dream, Dream","youtube_account"
"formula",4,"formula 1, Formula 1, formula1, Formula1, formule 1","youtube_account"
"gewoonthomas",4,"gewoon thomas, GEWOON THOMAS, gewoonthomas, GewoonThomas","youtube_account"
"giel",4,"giel, Giel, Giel., ties","youtube_account"
"hooligirls",4,"hooligirls, hooligurls","youtube_account"
"jperm",4,"J perm, J Perm, j-perm, Jperm, Jerma985","youtube_account"
"jemoeder",4,"je moeder, Je moeder, jemoeder, Jemoeder, enjemoeder","youtube_account"
"jeugdjournaal",4,"jeugdjournaal, Jeugdjournaal","youtube_account"
"juniorsongfestival",4,"junior songfestival, Junior Songfestival, juniorsongfestival","youtube_account"
"kalvijn",4,"kalvijn","youtube_account"
"linktijger",4,"linktijger, Linktijger","youtube_account"
"niks",4,"niks, Kiss, Sims 4","youtube_account"
"parrot",4,"parrot, Parrot","youtube_account"
"plodno",4,"plodno, Plodno","youtube_account"
"raoul",4,"raoul, Raoul, RADAL","youtube_account"
"rutgerenthomas",4,"rutger en thomas, Rutger en Thomas","youtube_account"
"sb",4,"sb-737, sb737, SB737, SBS, sbs6, SBS6, Sml, SNL, soz","youtube_account"
"slotta",4,"slotta, Slotta","youtube_account"
"socksfor",4,"socksfor1, Socksfor1, socksfor3, Socksfor3, Sockfor1","youtube_account"
"timtygran",4,"tim tygran, Tim Tygran","youtube_account"
"tuonto",4,"tuonto, Tuonto, Tuonto.","youtube_account"
"vogue",4,"vogue","youtube_account"
"blackpink",3,"@blackpink, blackpink","youtube_account"
"nosjeugdjournaal",3,"@NOS jeugdjournaal, nos jeugdjournaal, NOS jeugdjournaal","youtube_account"
"tubbo",3,"@Tubbo, tubbo, Tubbo","youtube_account"
"bitryan",3,"8-bitryan, 8bitryan, 8bitRyan","youtube_account"
"ajax",3,"ajax, Ajax, Adam","youtube_account"
"alexklein",3,"Alex klein, alexklein, Alexklein, Alex h Klein","youtube_account"
"alexpoatanpereira",3,"alex poatan pereira","youtube_account"
"anass",3,"anass, annas, Annas","youtube_account"
"andrewtate",3,"Andrew tate, Andrew Tate, Andrew Tate.","youtube_account"
"arjenlubach",3,"arjen lubach, Arjen Lubach","youtube_account"
"benderbij",3,"benderbij, Benderbij","youtube_account"
"berleezy",3,"berleezy","youtube_account"
"billieeilish",3,"billie eilish, Billie eilish, Billie Eilish","youtube_account"
"blooprint",3,"blooprint, Blooprint","youtube_account"
"boeie",3,"boeie, roedie, roelie","youtube_account"
"bokado",3,"bokado, Bokado","youtube_account"
"cboys",3,"c-boys, cboys, Cboys, cdboys","youtube_account"
"cboystv",3,"cboys tv, cboystv","youtube_account"
"cristiano",3,"cristiano","youtube_account"
"daiz",3,"Daiz, Dani, Daz, DAZN","youtube_account"
"dannygonzalez",3,"danny gonzalez, Danny Gonzalez, dannygonzalez, danny gonzales","youtube_account"
"debsmikle",3,"deb smikle, Deb smikle., deb smikel","youtube_account"
"dellavlogs",3,"della vlogs, Della vlogs","youtube_account"
"dharman",3,"dhar man, Dhar Man, dhar mann, DHAR MANN, Dharman, Dharmann., dharr man, Dharr mann.","youtube_account"
"djuncan",3,"Djuncan, duncan, Duncan, Djucan","youtube_account"
"efteling",3,"efteling, Efteling","youtube_account"
